CustomerID,Recency,Frequency,Monetary,Cluster
12497,81,1,2.06,0
12498,20,3,4.197826086956522,0
12500,22,11,5.63688524590164,0
12501,336,1,2.4126845637583894,1
12502,95,5,6.425238095238095,0
12504,17,2,9.011111111111111,0
12506,232,1,3.1956521739130435,1
12507,133,3,4.862857142857143,0
12508,25,2,1.7204347826086959,0
12509,283,1,5.564285714285715,1
12510,142,2,4.263333333333334,0
12512,65,2,2.5794117647058825,0
12513,112,1,2.180571428571428,0
12514,266,1,3.296862745098039,1
12515,352,1,6.78125,1
12516,77,2,2.725769230769231,0
12517,27,5,2.3527464788732395,0
12518,0,5,2.837177419354839,0
12519,63,1,2.9911111111111115,0
12520,78,5,3.288421052631579,0
12521,142,1,2.995789473684211,0
12522,38,2,5.0008333333333335,0
12523,18,11,4.935471698113207,0
12524,8,8,2.9170833333333333,0
12526,0,3,3.3538028169014087,0
12527,81,3,2.9294444444444445,0
12528,8,6,5.487934782608695,0
12530,59,4,3.8854545454545453,0
12531,14,1,3.8094117647058825,0
12532,29,1,3.698125,0
12534,130,1,3.035396825396825,0
12535,91,2,4.451470588235294,0
12536,42,3,34.75452107279693,0
12538,28,1,3.6433333333333335,0
12539,21,4,4.176520146520147,0
12540,19,17,3.847050209205021,0
12541,29,3,3.615769230769231,0
12544,35,1,4.106315789473685,0
12545,74,2,4.0238,0
12546,46,2,3.199275362318841,0
12547,197,2,7.95,1
12548,165,1,6.720000000000001,1
12550,78,1,3.0903508771929826,0
12551,357,1,1.6800000000000002,1
12552,38,2,9.1155,0
12553,7,10,3.1996335078534033,0
12556,49,2,2.6623140495867768,0
12557,15,5,2.1766666666666667,0
12558,7,1,1.25,0
12559,310,2,3.5490476190476192,1
12560,4,3,2.8562857142857143,0
12561,302,1,2.964375,1
12562,7,7,3.188214285714286,0
12564,260,1,5.576190476190476,1
12565,288,1,2.351111111111111,1
12566,85,1,3.903684210526316,0
12567,22,10,3.40847533632287,0
12569,1,32,5.434574468085106,0
12571,39,2,1.3205882352941176,0
12572,8,2,4.227833333333334,0
12573,226,1,2.0964285714285715,1
12574,315,1,5.2,1
12576,35,5,2.4045454545454543,0
12577,34,3,1.7950340136054421,0
12578,20,2,3.157017543859649,0
12579,77,1,3.3386206896551722,0
12580,246,1,2.6075,1
12581,39,1,2.8926666666666665,0
12582,238,2,5.2318181818181815,1
12583,2,15,3.103603238866397,0
12584,3,9,7.484375,0
12585,233,2,3.4639080459770115,1
12586,16,1,4.190909090909091,0
12587,7,1,11.56,0
12588,38,1,9.58,0
12589,28,2,4.502857142857143,0
12590,210,2,10.54735294117647,1
12591,316,1,3.7807692307692307,1
12592,91,2,3.311111111111111,0
12593,108,3,2.6523809523809527,0
12594,37,10,3.023135593220339,0
12596,50,2,4.405555555555556,0
12597,18,4,3.9420873786407764,0
12598,9,8,2.8425757575757578,0
12599,28,7,2.9962903225806454,0
12600,28,10,5.47375,0
12601,189,5,6.511071428571428,1
12602,58,1,1.9708333333333332,0
12603,21,1,14.475,0
12604,78,2,2.59125,0
12607,59,1,2.1577227722772276,0
12609,77,3,3.5178333333333334,0
12610,22,5,5.024716981132076,0
12611,51,1,2.675076923076923,0
12612,73,1,4.4389473684210525,0
12613,56,5,2.8726143790849674,0
12614,277,1,5.61,1
12615,1,4,3.0896190476190477,0
12616,94,2,3.8203125,0
12617,28,1,1.903095238095238,0
12618,21,1,6.6381818181818195,0
12619,15,9,7.056555555555556,0
12620,14,3,2.1478260869565218,0
12621,1,20,2.8922912205567455,0
12622,231,1,5.739090909090909,1
12623,275,1,2.628888888888889,1
12624,105,2,3.8721052631578945,0
12625,211,2,2.1713953488372093,1
12626,22,9,2.8210544217687072,0
12627,10,7,2.937913043478261,0
12628,3,3,3.591219512195122,0
12630,9,2,4.48640625,0
12631,56,1,4.537096774193548,0
12633,58,4,3.211386138613862,0
12635,89,2,2.522079207920792,0
12637,66,8,2.6583076923076923,0
12638,32,1,2.56,0
12639,238,1,4.918181818181818,1
12640,23,3,5.716981132075472,0
12641,114,1,6.964999999999999,0
12642,24,3,3.5906382978723403,0
12643,127,6,5.187916666666666,0
12644,129,1,2.8045161290322578,0
12645,33,4,2.611095890410959,0
12646,4,2,2.387111111111111,0
12647,21,12,5.498842975206611,0
12648,154,1,3.1723809523809527,1
12649,106,3,2.6970967741935485,0
12650,2,1,1.9344999999999999,0
12651,334,1,2.244444444444445,1
12652,330,1,2.8972916666666664,1
12653,148,2,2.5909302325581396,1
12654,10,5,4.420526315789473,0
12656,16,5,4.4494444444444445,0
12657,10,4,5.044893617021277,0
12658,18,1,4.114444444444445,0
12659,29,1,5.308,0
12660,10,1,3.8653846153846154,0
12662,0,11,3.2064782608695652,0
12664,7,9,11.084864864864864,0
12665,324,1,6.833333333333333,1
12667,57,1,3.624242424242424,0
12668,11,4,3.458509316770187,0
12669,150,3,13.741386138613862,1
12670,9,5,3.235869565217391,0
12672,329,1,3.79,1
12673,4,2,2.9283333333333337,0
12674,38,4,3.230602409638554,0
12676,24,6,7.0282222222222215,0
12678,41,12,6.554666666666667,0
12679,58,4,4.004166666666666,0
12680,0,4,3.637884615384615,0
12681,14,22,3.1529153605015674,0
12682,3,31,3.7501523809523807,0
12683,3,15,2.719156976744186,0
12684,7,7,2.5359999999999996,0
12685,27,6,3.0710191082802547,0
12686,371,1,3.2585714285714285,1
12688,113,1,4.124736842105263,0
12689,25,2,2.8519444444444444,0
12690,205,1,5.5268749999999995,1
12691,27,6,5.0359375,0
12693,126,4,5.44025641025641,0
12694,69,2,3.901621621621622,0
12695,6,4,4.785555555555556,0
12697,28,3,5.027560975609756,0
12700,7,4,2.6198880597014926,0
12701,79,2,3.0907547169811322,0
12702,19,1,5.441666666666666,0
12703,70,1,2.638095238095238,0
12704,6,8,6.428409090909091,0
12705,14,9,2.8610179640718565,0
12707,291,1,3.236666666666667,1
12708,29,10,4.316433121019108,0
12709,14,15,3.3240865384615383,0
12710,96,3,2.718441558441558,0
12712,28,13,6.379924812030075,0
12713,0,1,2.503421052631579,0
12714,8,5,2.391891891891892,0
12715,105,1,3.401904761904762,0
12716,3,2,2.665797101449275,0
12717,150,2,4.670000000000001,1
12718,70,1,2.7221052631578946,0
12719,4,2,3.644871794871795,0
12720,2,25,2.701581920903955,0
12721,31,6,3.069751552795031,0
12722,84,4,3.6201886792452833,0
12723,3,5,3.2023188405797103,0
12724,4,4,3.721132075471698,0
12725,370,1,4.104166666666667,1
12726,27,7,2.106693548387097,0
12727,10,7,3.2171223021582733,0
12728,70,4,4.669347826086956,0
12729,113,1,3.701538461538462,0
12731,23,12,3.346167883211679,0
12732,179,1,3.5225000000000004,1
12733,233,1,3.372727272727273,1
12734,352,1,1.185,1
12735,314,2,5.416279069767441,1
12736,332,1,5.58,1
12738,371,1,3.95,1
12739,77,2,4.008421052631578,0
12740,63,1,2.074074074074074,0
12743,133,2,3.038582089552239,0
12744,51,7,58.33328828828829,0
12747,1,11,4.3678640776699025,0
12748,0,209,2.656278563656148,0
12749,3,5,4.999949748743719,0
12750,128,1,4.62,0
12752,80,1,2.2941509433962266,0
12753,22,6,2.3373604060913706,0
12754,235,3,1.125079365079365,1
12755,280,2,5.0249999999999995,1
12756,86,1,0.7424999999999999,0
12757,15,13,11.912641509433962,0
12758,116,2,1.700618556701031,0
12759,51,3,3.2154736842105267,0
12762,7,2,2.736086956521739,0
12763,137,2,1.7716666666666667,0
12764,316,1,5.387555555555555,1
12766,3,7,3.070806451612903,0
12769,238,1,4.45625,1
12770,210,1,2.625,1
12772,59,1,3.7007272727272724,0
12775,16,5,3.880606060606061,0
12778,19,6,3.5094,0
12779,37,8,3.6543624161073827,0
12781,63,2,3.1308,0
12782,4,5,3.805436893203883,0
12783,1,6,12.22857142857143,0
12784,8,2,2.8015254237288136,0
12785,363,1,4.828571428571428,1
12787,9,3,3.998,0
12789,64,1,22.9625,0
12790,191,1,3.948571428571429,1
12791,373,1,8.425,1
12792,256,1,3.5096,1
12793,334,2,3.91,1
12794,52,2,2.077111111111111,0
12795,18,1,7.695,0
12797,365,1,5.143846153846154,1
12798,9,3,1.0474999999999999,0
12802,186,1,2.52,1
12808,36,3,4.0460714285714285,0
12809,177,1,4.4092,1
12811,260,3,4.12258064516129,1
12812,44,1,2.0686666666666667,0
12814,101,1,20.895,0
12815,147,2,5.401489361702128,1
12816,95,2,8.832758620689654,0
12817,280,1,12.0725,1
12818,261,1,6.755,1
12820,2,4,1.9047457627118642,0
12821,213,1,2.4983333333333335,1
12822,70,2,2.692608695652174,0
12823,74,5,7.65,0
12824,59,1,2.5356,0
12826,2,7,1.9276923076923078,0
12827,5,3,2.8680000000000003,0
12828,2,6,3.09,0
12829,336,2,10.368181818181817,1
12830,37,6,1.0863157894736843,0
12831,261,1,3.066666666666667,1
12832,31,2,2.928888888888889,0
12833,144,1,5.44125,1
12834,282,1,4.893888888888889,1
12836,58,4,4.287828571428571,0
12837,172,1,6.745833333333334,1
12838,33,2,2.3197560975609757,0
12839,2,14,1.9202229299363058,0
12840,143,4,2.035486725663717,0
12841,4,25,2.395166666666667,0
12842,69,2,4.3302941176470595,0
12843,65,8,3.513203883495146,0
12844,28,2,2.631153846153846,0
12845,266,4,2.7903703703703706,1
12847,21,1,1.3392307692307692,0
12849,30,2,2.8945098039215686,0
12851,96,1,1.9465999999999999,0
12852,294,1,3.65,1
12853,134,6,4.250512820512821,0
12854,78,3,2.7746363636363633,0
12855,372,1,1.55,1
12856,7,6,2.543407643312102,0
12857,210,2,4.142391304347826,1
12863,51,1,3.374,0
12864,137,1,0.6566666666666666,0
12865,25,2,3.119157894736842,0
12866,282,1,4.4157692307692304,1
12867,25,7,1.3313382899628252,0
12868,185,6,2.611682242990654,1
12871,83,2,2.110909090909091,0
12872,326,2,2.4956060606060606,1
12873,281,1,4.0375,1
12875,142,2,0.17,0
12876,57,2,2.2544705882352942,0
12877,3,12,1.8988961038961039,0
12878,235,2,2.0325531914893618,1
12879,44,3,1.832,0
12881,275,1,32.971428571428575,1
12882,8,2,6.437692307692307,0
12883,24,4,5.926904761904762,0
12884,87,1,15.984285714285715,0
12885,62,3,3.5930985915492957,0
12886,67,2,3.7206097560975615,0
12888,213,2,5.896,1
12890,23,1,1.8129268292682927,0
12891,185,3,0.3666666666666667,1
12893,30,1,2.2108823529411765,0
12895,41,2,3.222727272727273,0
12897,204,2,2.7,1
12901,8,28,1.4663793103448275,0
12902,264,1,5.619,1
12904,17,2,3.085,0
12906,11,5,2.551904761904762,0
12908,175,2,0.625,1
12909,39,5,6.7639560439560436,0
12910,22,8,2.0928,0
12912,2,5,2.7191666666666667,0
12913,4,5,2.9248000000000003,0
12915,148,2,6.788636363636363,1
12916,138,4,4.126635514018692,0
12917,127,1,4.95,0
12919,7,6,2.6044,0
12920,16,1,3.8410714285714285,0
12921,8,37,2.3401944444444447,0
12922,160,1,1.627857142857143,1
12923,63,1,2.936551724137931,0
12924,87,4,3.1883333333333335,0
12925,4,2,2.310222222222222,0
12928,34,5,1.9426190476190477,0
12929,311,1,7.11875,1
12930,77,2,2.9948,0
12931,21,15,1.7017073170731707,0
12933,23,3,2.6469811320754717,0
12935,1,7,2.032325581395349,0
12936,16,4,2.033225806451613,0
12937,14,4,2.371666666666667,0
12938,25,1,1.271111111111111,0
12939,63,8,2.403404255319149,0
12940,54,2,3.8207070707070705,0
12942,130,3,4.1378666666666675,0
12944,35,2,3.1886666666666668,0
12945,287,1,4.95,1
12947,143,6,3.270309278350515,0
12948,15,7,2.932758620689655,0
12949,30,8,2.8786511627906974,0
12950,1,3,1.3891304347826086,0
12951,8,6,3.006031746031746,0
12952,5,4,4.062658227848101,0
12953,9,1,6.647058823529412,0
12955,0,11,1.6899444444444445,0
12956,305,1,4.365263157894737,1
12957,9,8,2.817563025210084,0
12962,6,2,2.985625,0
12963,7,8,3.294842105263158,0
12965,88,1,3.6638532110091746,0
12966,9,1,3.4230000000000005,0
12967,357,2,6.476315789473684,1
12968,111,1,3.29,0
12970,6,4,2.0307947019867547,0
12971,3,86,2.310327868852459,0
12974,197,1,7.7,1
12976,211,1,1.5345454545454544,1
12977,155,1,4.23,1
12980,157,9,15.904500000000002,1
12981,29,2,1.6235,0
12982,242,1,1.8478571428571429,1
12984,18,1,3.85,0
12985,0,2,1.914342105263158,0
12987,73,2,6.110714285714286,0
12988,291,1,4.110217391304348,1
12989,2,15,3.1915625,0
12990,30,3,2.05,0
12991,22,2,2.3067741935483874,0
12993,22,4,2.1377777777777776,0
12994,3,3,4.212459016393442,0
12995,84,1,1.9566666666666668,0
12997,21,4,3.2942372881355935,0
12999,195,3,2.549285714285714,1
13000,106,3,3.0125806451612904,0
13001,3,13,2.419882005899705,0
13002,317,1,2.8214285714285716,1
13003,105,3,2.25,0
13004,11,18,2.0111633663366337,0
13005,173,2,5.117307692307692,1
13006,55,1,5.295,0
13008,322,1,1.7342857142857144,1
13011,371,1,4.216666666666667,1
13012,8,8,3.2319101123595506,0
13013,0,13,3.163470319634703,0
13014,10,10,5.255229357798165,0
13015,52,5,5.035568181818181,0
13016,72,3,3.173191489361702,0
13017,6,1,4.25,0
13018,15,28,2.1802183406113538,0
13021,3,9,3.812290076335878,0
13023,63,2,4.5525,0
13026,0,5,0.6757500000000001,0
13027,113,6,0.4,0
13028,22,2,1.014,0
13029,30,3,7.388,0
13030,10,2,3.17989898989899,0
13032,51,2,3.81943661971831,0
13033,356,1,2.640909090909091,1
13034,54,2,2.3721621621621622,0
13035,73,2,1.8218518518518518,0
13037,137,3,3.8214583333333336,0
13038,79,3,2.7582142857142857,0
13040,8,2,2.8039534883720934,0
13043,272,1,5.680000000000001,1
13044,290,1,3.258787878787879,1
13045,98,1,1.5705555555555555,0
13046,30,2,6.142857142857143,0
13047,31,10,3.9320348837209305,0
13048,13,4,1.8322058823529412,0
13049,63,2,3.9335714285714287,0
13050,14,17,2.9888833746898262,0
13052,211,1,3.2938888888888886,1
13055,77,3,2.4710526315789476,0
13058,24,3,5.825,0
13059,249,1,5.21875,1
13060,253,1,3.982666666666667,1
13061,71,1,3.403,0
13062,190,1,6.819090909090908,1
13064,12,4,3.555217391304348,0
13065,372,1,5.222142857142857,1
13066,23,2,3.1733333333333333,0
13067,81,1,3.86,0
13068,9,2,1.72,0
13069,0,24,1.705764705882353,0
13070,191,1,2.08,1
13072,266,1,3.3500000000000005,1
13075,129,1,2.0395454545454546,0
13077,0,4,1.7558035714285716,0
13078,2,26,3.9574301675977654,0
13079,3,5,4.166666666666667,0
13080,178,1,0.5783333333333333,1
13081,11,11,2.3001953125,0
13082,125,9,2.9687671232876713,0
13083,3,2,3.4066666666666667,0
13085,157,2,4.003636363636364,1
13089,2,97,2.737816281628163,0
13090,8,14,4.534516129032259,0
13091,27,1,0.9933333333333333,0
13092,70,5,5.018,0
13093,275,8,3.273647798742138,1
13094,20,12,1.2525000000000002,0
13095,70,1,0.6933333333333334,0
13097,32,10,4.244113475177305,0
13098,0,28,2.7601223776223778,0
13099,98,1,0.72,0
13101,233,1,2.9675,1
13102,0,24,2.5820394736842105,0
13103,39,1,3.9675,0
13104,2,6,2.1715,0
13106,132,1,4.25,0
13107,43,4,1.7613793103448274,0
13108,372,1,1.752,1
13109,59,2,2.6465957446808512,0
13110,30,7,4.7364137931034485,0
13113,0,24,3.45205,0
13115,11,4,2.5444999999999998,0
13116,137,1,4.5216666666666665,0
13117,21,8,2.4343421052631578,0
13118,19,5,3.588354430379747,0
13120,238,1,2.55,1
13121,268,1,1.6887999999999999,1
13122,93,2,2.6365454545454545,0
13124,89,3,3.3234893617021277,0
13126,4,8,2.100142857142857,0
13127,77,1,2.8853333333333335,0
13130,93,1,2.25,0
13131,22,3,3.1161363636363633,0
13132,261,1,4.933333333333334,1
13133,273,2,5.3428571428571425,1
13134,85,4,3.113163265306122,0
13135,196,1,0.72,1
13136,55,5,2.8439370078740156,0
13137,10,8,1.915241477272727,0
13138,21,6,2.8215873015873014,0
13139,15,7,3.541235294117647,0
13140,107,3,2.9486956521739134,0
13141,84,5,2.202444444444444,0
13142,18,1,2.9969565217391305,0
13144,332,1,6.216666666666666,1
13145,39,4,51.71,0
13146,25,1,2.027058823529412,0
13147,9,4,4.95,0
13148,28,12,3.467742946708464,0
13149,13,4,2.881860465116279,0
13151,295,1,5.689324324324324,1
13153,5,1,1.278,0
13155,32,4,2.912,0
13157,48,4,1.8683908045977013,0
13158,94,4,2.0106329113924053,0
13159,8,4,2.7321487603305785,0
13160,21,1,3.025,0
13161,312,1,4.8625,1
13162,121,4,1.4626582278481013,0
13165,45,2,0.800952380952381,0
13166,282,1,2.3914634146341465,1
13167,18,4,2.9483076923076923,0
13168,35,4,3.165267175572519,0
13169,63,2,3.7823076923076924,0
13170,26,1,1.54625,0
13171,21,3,4.0445652173913045,0
13173,3,2,2.6467441860465115,0
13174,15,3,3.3874840764331213,0
13176,45,1,2.7775,0
13177,64,1,3.514705882352941,0
13178,25,11,2.046566037735849,0
13182,44,1,0.6854545454545454,0
13183,7,9,2.032659574468085,0
13184,14,10,1.8393922651933703,0
13185,267,1,5.95,1
13186,39,3,3.2486075949367086,0
13187,336,1,3.765405405405405,1
13188,10,1,9.575,0
13189,18,2,0.39172413793103444,0
13192,94,2,2.6287301587301584,0
13193,60,1,2.870344827586207,0
13194,135,1,2.65,0
13196,10,4,2.5078181818181817,0
13198,9,6,2.379336283185841,0
13199,3,38,2.6299159663865543,0
13200,18,4,3.3756521739130436,0
13203,9,4,2.3040350877192983,0
13207,14,2,2.2912500000000002,0
13208,58,6,2.338456375838926,0
13209,29,8,2.2679127725856696,0
13210,93,1,1.5118181818181817,0
13211,9,3,1.4396428571428572,0
13212,19,3,3.745211267605634,0
13213,56,5,2.7209999999999996,0
13216,267,1,1.448,1
13217,121,3,2.38,0
13218,126,1,0.9299999999999999,0
13220,77,4,4.531904761904762,0
13221,239,2,5.01439393939394,1
13223,199,2,1.9600000000000002,1
13224,59,2,2.3142592592592592,0
13225,2,7,2.3603125,0
13226,272,1,2.711875,1
13227,201,1,2.5999999999999996,1
13228,80,1,1.79,0
13229,225,1,4.0600000000000005,1
13230,3,14,2.399050736497545,0
13232,12,7,3.2770531400966183,0
13233,73,2,0.737906976744186,0
13235,211,1,2.7143103448275863,1
13236,24,2,4.0344444444444445,0
13238,16,4,4.110645161290323,0
13239,261,1,1.590952380952381,1
13240,95,4,3.3132835820895523,0
13242,111,3,2.08,0
13243,202,1,3.6174137931034482,1
13244,92,1,3.747777777777778,0
13245,50,1,6.23125,0
13246,17,6,1.851418439716312,0
13247,17,4,2.1075999999999997,0
13248,124,2,2.6873076923076926,0
13249,91,3,3.430869565217391,0
13253,156,2,1.1419444444444444,1
13255,8,2,4.96,0
13258,11,3,3.663684210526316,0
13259,61,1,2.308390804597701,0
13260,60,1,4.9675,0
13261,268,2,5.488888888888889,1
13262,262,1,3.092727272727273,1
13263,0,35,2.2423792486583185,0
13265,52,5,2.3726373626373625,0
13266,10,12,1.9028877005347595,0
13267,2,19,3.5107582938388626,0
13268,17,11,1.5559545454545454,0
13269,0,15,2.545474683544304,0
13270,365,1,2.95,1
13271,36,1,1.1966666666666665,0
13272,30,2,5.339333333333333,0
13273,112,1,1.298125,0
13276,63,2,5.097666666666667,0
13277,15,4,1.45,0
13278,40,1,1.9269565217391305,0
13279,77,1,2.6033333333333335,0
13280,121,3,2.6203529411764706,0
13282,17,3,4.676216216216217,0
13283,59,2,1.3071428571428572,0
13284,330,1,4.397692307692308,1
13285,22,4,2.1348663101604277,0
13291,155,1,2.6642857142857146,1
13292,38,2,3.7332258064516126,0
13294,189,2,3.6888888888888887,1
13295,359,1,3.4899999999999998,1
13296,136,1,2.408,0
13297,7,4,2.977966101694915,0
13298,0,1,3.75,0
13299,267,1,4.75,1
13300,168,1,2.3865,1
13301,103,4,2.637654320987654,0
13302,154,1,12.75,1
13304,350,1,3.161904761904762,1
13305,3,10,3.3620987654320986,0
13307,119,1,3.75,0
13308,22,3,3.0190740740740742,0
13309,6,5,1.6181308411214952,0
13310,27,3,3.2480555555555557,0
13311,3,2,4.1207692307692305,0
13313,21,5,2.132307692307692,0
13314,1,3,3.1879032258064517,0
13316,36,4,2.504022988505747,0
13317,65,6,4.001209677419355,0
13318,0,3,2.857,0
13319,4,26,3.273970588235294,0
13320,77,4,1.8131132075471699,0
13321,71,2,2.1245454545454545,0
13322,16,1,2.7704000000000004,0
13323,2,5,4.55,0
13324,35,10,2.7862666666666667,0
13325,81,1,3.0283333333333338,0
13327,38,8,2.772222222222222,0
13328,315,1,1.8776470588235292,1
13329,31,2,2.2535294117647062,0
13330,92,3,2.020377358490566,0
13332,13,1,3.0352380952380953,0
13334,81,3,2.926119402985075,0
13336,76,1,2.5023529411764707,0
13338,157,1,6.575263157894737,1
13339,200,1,5.235555555555556,1
13340,44,7,2.760223880597015,0
13341,260,1,4.182142857142857,1
13343,177,1,6.25421052631579,1
13344,67,3,5.008487394957983,0
13345,287,1,5.6450000000000005,1
13347,69,1,7.52,0
13348,63,1,2.2057142857142855,0
13349,10,1,4.02625,0
13350,15,2,8.31575,0
13351,65,1,6.498125,0
13352,59,1,3.779583333333333,0
13354,70,1,1.8486274509803922,0
13355,121,1,2.7259375,0
13356,79,1,4.316190476190476,0
13357,256,1,2.9174444444444445,1
13358,268,1,5.006551724137931,1
13359,63,1,5.8,0
13362,8,4,3.499277108433735,0
13363,17,2,3.8373333333333335,0
13364,70,1,2.598,0
13365,33,2,3.115703125,0
13366,49,1,0.39,0
13368,256,2,4.917586206896552,1
13369,365,1,6.5442857142857145,1
13370,371,1,3.7279487179487183,1
13372,89,1,6.020434782608696,0
13373,60,3,3.27006329113924,0
13375,88,1,3.137567567567568,0
13376,98,3,5.379811320754717,0
13379,25,3,1.7503092783505154,0
13381,31,6,3.0504069767441857,0
13382,280,1,2.7520000000000002,1
13384,30,7,3.173223684210526,0
13385,329,1,4.533142857142857,1
13388,130,2,4.5608571428571425,0
13389,10,3,3.844901960784314,0
13390,74,1,3.060769230769231,0
13391,203,1,14.95,1
13394,1,8,1.6380000000000001,0
13395,184,1,2.7238095238095235,1
13396,28,2,3.8948837209302325,0
13397,72,5,4.0,0
13398,191,1,3.4296153846153845,1
13402,126,2,1.97974358974359,0
13403,17,1,2.9166666666666665,0
13404,0,2,2.900909090909091,0
13405,73,3,5.427814814814814,0
13408,1,62,2.439100418410042,0
13410,23,5,2.440714285714286,0
13411,106,1,3.263888888888889,0
13414,133,3,1.8404166666666668,0
13416,43,2,5.455263157894737,0
13417,4,2,6.356428571428571,0
13418,11,18,2.9381578947368423,0
13419,63,1,1.011875,0
13420,149,2,3.5425,1
13421,39,2,2.088461538461538,0
13422,63,1,3.0306299212598424,0
13425,107,3,2.634102564102564,0
13426,0,10,1.8858598726114648,0
13427,18,3,1.6500000000000001,0
13428,9,1,1.9724324324324325,0
13429,10,4,1.2207462686567165,0
13430,18,2,1.6575510204081632,0
13431,66,2,3.2167391304347825,0
13434,73,2,1.652,0
13435,4,7,2.935247524752475,0
13436,1,1,5.829999999999999,0
13437,13,7,4.8889820359281435,0
13439,254,1,1.7253703703703704,1
13441,91,1,1.926153846153846,0
13447,22,3,3.139830508474576,0
13448,16,6,3.182205128205128,0
13449,23,1,1.924736842105263,0
13450,26,6,1.5401408450704224,0
13451,25,5,2.1018284424379234,0
13452,258,2,295.0,4
13453,165,2,4.546470588235294,1
13455,24,2,4.624347826086956,0
13456,17,6,3.458730158730159,0
13458,6,14,2.4352356020942407,0
13460,28,2,1.06,0
13461,38,3,1.5685185185185186,0
13462,252,1,3.388888888888889,1
13464,57,1,3.205609756097561,0
13466,183,1,2.841764705882353,1
13467,10,2,2.731818181818182,0
13468,1,37,4.103245033112583,0
13470,98,2,1.65,0
